videoId,commentCount,viewCount,favoriteCount,dislikeCount,likeCount
WKo4ZEGKzZE,8,3415,0,1,59
UTZHKZpYgKA,45,37965,0,20,332
oWc2GNtBurY,,878508,0,191,7382
TwB1XhZQzjI,271,3319,0,2,58
ITteOdFBu5I,1040,456945,0,115,3050
m97UWd2QuAI,1824,854153,0,261,5142
GMKOTe1g6UI,4620,502577,0,14260,4159
xzNh-hdceiU,133,93427,0,11,774
JuuzmOXL1bc,5132,2236264,0,872,44686
10Ijsg3XdgE,8,13716,0,6,35
Mjg1s6A6VJ8,164,96855,0,25,812
w72kj20YNA0,782,221641,0,55,4263
2NH7Jowr7gA,43,10270,0,23,133
IBIwGKDwnWY,1850,534691,0,309,9905
JECCJu_UNaQ,209,281491,0,44,2099
1rgQ8MmQ80o,23,8639,0,2,166
j1JERhUoQoU,12496,796865,0,1942,20175
VVLzQMqWER8,400,220814,0,24,2739
MGyaR2sSBkA,7065,4188013,0,782,56879
OtXBdnGdG1s,858,205310,0,43,3084
gTGfS-PLUtI,,395166,0,,
vmf7bXSxWxI,,228288,0,17,649
Q1bJyQTRXVw,132,26755,0,138,106
G_DZlFXemAo,64,37989,0,50,129
63dmlHOz6jQ,1188,241409,0,1332,1866
02OnzheWyqo,1427,481737,0,171,10530
KykD2fGY53c,14,18446,0,22,69
AbBdpBuqXuE,49,33429,0,11,108
H3TpgIjefGQ,348,185292,0,498,1487
jJmkgqfGdIs,1,2300,0,1,16
rpyNSLOJmmw,22,49083,0,12,246
OjxFTDzeG6A,427,1024959,0,111,8694
nxuz4fQQOuE,497,2462891,0,89,2069
jNmYyb7dCdQ,402,96741,0,269,1556
xnIjDOByArk,1462,201640,0,605,4913
ixA-RLw2HKw,46,12884,0,2,124
hrW_wljXgZw,92,13677,0,26,94
lGy5H_C0Ivg,1777,1345277,0,993,11106
iy-apcDUhrU,13,12355,0,0,50
jHbySvhd3jE,810,324587,0,224,1594
AO4bELTs0p0,257,122599,0,17,417
pdvCO97jOQk,10,7731,0,1,188
IrZxTS_eXLE,267,86611,0,50,724
E5Td5-nk1uw,18,14845,0,12,117
jJgUsTMZ8mw,1480,784424,0,298,4265
YM3k18G5_1g,265,46039,0,20,325
nTAKtvhjmcQ,327,6066,0,3,74
uG8V9dRqSsw,13737,5253565,0,1604,55036
